file,bugChurn,rank
org.apache.accumulo.core.master.thrift.MasterClientService_java,9946,1
org.apache.accumulo.core.master.thrift.FateService_java,5017,2
org.apache.accumulo.core.client.mapreduce.InputFormatBase_java,1960,3
org.apache.accumulo.core.client.mapreduce.AbstractInputFormat_java,1430,4
org.apache.accumulo.core.client.mapreduce.RangeInputSplit_java,1215,5
org.apache.accumulo.master.Master_java,923,6
org.apache.accumulo.core.client.mapred.RangeInputSplit_java,803,7
org.apache.accumulo.core.client.mapred.InputFormatBase_java,605,8
org.apache.accumulo.core.client.mapreduce.lib.util.InputConfigurator_java,533,9
org.apache.accumulo.master.FateServiceHandler_java,509,10
org.apache.accumulo.master.MasterClientServiceHandler_java,485,11
org.apache.accumulo.server.security.SecurityOperation_java,351,12
org.apache.accumulo.core.client.ZooKeeperInstance_java,332,13
org.apache.accumulo.start.classloader.vfs.AccumuloVFSClassLoader_java,253,14
org.apache.accumulo.core.client.impl.ThriftTransportPool_java,216,15
org.apache.accumulo.server.Accumulo_java,214,16
org.apache.accumulo.server.util.RemoveEntriesForMissingFiles_java,213,17
org.apache.accumulo.minicluster.MiniAccumuloCluster_java,210,18
org.apache.accumulo.core.security.crypto.NonCachingSecretKeyEncryptionStrategy_java,188,19
org.apache.accumulo.core.conf.Property_java,184,20
org.apache.accumulo.core.security.crypto.BlockedInputStream_java,174,21
org.apache.accumulo.server.watcher.MonitorLog4jWatcher_java,168,22
org.apache.accumulo.core.client.ClientConfiguration_java,166,23
org.apache.accumulo.core.client.mapreduce.lib.util.ConfiguratorBase_java,161,24
org.apache.accumulo.core.client.mapred.AbstractInputFormat_java,151,25
org.apache.accumulo.core.security.crypto.CryptoModuleFactory_java,144,26
org.apache.accumulo.tserver.TabletServer_java,137,27
org.apache.accumulo.tserver.log.TabletServerLogger_java,132,28
org.apache.accumulo.server.master.LiveTServerSet_java,132,28
org.apache.accumulo.server.util.FileUtil_java,124,30
org.apache.accumulo.core.util.CreateToken_java,117,31
org.apache.accumulo.core.data.Range_java,116,32
org.apache.accumulo.core.security.crypto.BlockedOutputStream_java,104,33
org.apache.accumulo.server.util.FindOfflineTablets_java,104,33
org.apache.accumulo.core.master.thrift.FateOperation_java,103,35
org.apache.accumulo.server.init.Initialize_java,102,36
org.apache.accumulo.server.util.Admin_java,100,37
org.apache.accumulo.core.client.impl.Tables_java,98,38
org.apache.accumulo.server.monitor.LogService_java,96,39
org.apache.accumulo.server.client.HdfsZooInstance_java,92,40
org.apache.accumulo.core.client.impl.MasterClient_java,89,41
org.apache.accumulo.server.util.ListInstances_java,88,42
org.apache.accumulo.master.TabletGroupWatcher_java,87,43
org.apache.accumulo.core.security.ColumnVisibility_java,85,44
org.apache.accumulo.core.client.Instance_java,84,45
org.apache.accumulo.tserver.TabletServerResourceManager_java,83,46
org.apache.accumulo.core.iterators.IteratorUtil_java,80,47
org.apache.accumulo.core.util.AddressUtil_java,76,48
org.apache.accumulo.fate.Fate_java,75,49
org.apache.accumulo.server.client.ClientServiceHandler_java,73,50
org.apache.accumulo.core.util.CleanUp_java,67,51
org.apache.accumulo.server.security.AuditedSecurityOperation_java,66,52
org.apache.accumulo.server.util.RestoreZookeeper_java,64,53
org.apache.accumulo.core.client.mapreduce.AccumuloOutputFormat_java,64,53
org.apache.accumulo.server.fs.VolumeManagerImpl_java,59,55
org.apache.accumulo.core.client.impl.ConnectorImpl_java,58,56
org.apache.accumulo.core.client.mock.MockInstance_java,55,57
org.apache.accumulo.tserver.log.DfsLogger_java,54,58
org.apache.accumulo.server.master.state.TServerInstance_java,52,59
org.apache.accumulo.server.conf.TableConfiguration_java,49,60
org.apache.accumulo.start.Main_java,46,61
org.apache.accumulo.server.util.MetadataTableUtil_java,45,62
org.apache.accumulo.core.file.blockfile.impl.CachableBlockFile_java,45,62
org.apache.accumulo.core.conf.AccumuloConfiguration_java,43,64
org.apache.accumulo.fate.zookeeper.ZooSession_java,43,64
org.apache.accumulo.gc.SimpleGarbageCollector_java,41,66
org.apache.accumulo.start.classloader.vfs.UniqueFileReplicator_java,39,67
org.apache.accumulo.core.util.ServerServices_java,38,68
org.apache.accumulo.core.client.impl.Translators_java,37,69
org.apache.accumulo.server.util.Info_java,35,70
org.apache.accumulo.server.fs.FileRef_java,34,71
org.apache.accumulo.core.client.impl.Namespaces_java,33,72
org.apache.accumulo.server.conf.ZooConfiguration_java,32,73
org.apache.accumulo.core.security.crypto.NoFlushOutputStream_java,31,74
org.apache.accumulo.core.conf.DefaultConfiguration_java,30,75
org.apache.accumulo.core.security.crypto.DefaultCryptoModule_java,30,75
org.apache.accumulo.monitor.util.celltypes.TableLinkType_java,29,77
org.apache.accumulo.server.master.state.MetaDataTableScanner_java,29,77
org.apache.accumulo.core.client.impl.TabletServerBatchReaderIterator_java,29,77
org.apache.accumulo.core.file.rfile.bcfile.BCFile_java,29,77
org.apache.accumulo.core.conf.SiteConfiguration_java,28,81
org.apache.accumulo.server.client.BulkImporter_java,27,82
org.apache.accumulo.core.client.mapreduce.AccumuloInputFormat_java,27,82
org.apache.accumulo.core.security.AuthorizationContainer_java,26,84
org.apache.accumulo.monitor.Monitor_java,26,84
org.apache.accumulo.server.master.state.ClosableIterator_java,23,86
org.apache.accumulo.core.client.security.tokens.AuthenticationToken_java,22,87
org.apache.accumulo.fate.zookeeper.ZooLock_java,22,87
